,X_coord,Y_coord,bandgap
162,197,137,2.5055456359112043
163,197,138,2.4795026818956063
164,197,139,2.473562800967808
165,197,140,2.467841194635335
166,197,141,2.462443703863887
167,197,142,2.4618814800128077
168,197,143,2.458239798751744
169,197,144,2.457081412616211
170,197,145,2.4473070556727183
171,198,129,2.490213096806531
172,198,130,2.472571138055247
173,198,131,2.4779410037651646
174,198,132,2.4803580664011315
175,198,133,2.497992949098231
176,198,134,2.4797871306923205
177,198,135,2.5123479006011875
178,198,136,2.502901536087849
179,198,137,2.4811967873283156
180,198,138,2.4773673603941946
181,198,139,2.4696700448979816
182,198,140,2.4665726513553365
183,198,141,2.4645394237828215
184,198,142,2.4663024517173566
185,198,143,2.4638369767234303
186,198,144,2.4582358615190425
187,199,131,2.4924333924052844
188,199,132,2.5021592384114686
189,199,133,2.4971988459381036
190,199,134,2.482240015133703
191,199,135,2.4819016464927035
192,199,136,2.4762434470234047
193,199,137,2.47703443902037
194,199,138,2.4949248656530187
195,199,139,2.469296991511751
196,199,140,2.4665646835659825
197,199,141,2.4562588148294746
198,199,142,2.4653020048442893
199,199,143,2.4615141474803783
200,200,132,2.4973117497967525
201,200,133,2.4974235925528334
202,200,134,2.479300274445013
203,200,135,2.4771077058525632
204,200,136,2.470919502896971
205,200,137,2.472346605129738
206,200,138,2.4696561808843494
207,200,139,2.489531388084946
208,200,140,2.4648499685002143
209,200,141,2.4575864410068085
210,200,142,2.4664499830325326
211,201,133,2.4916919157101503
212,201,134,2.49364601283777
213,201,135,2.4922547041731047
214,201,136,2.4711400408713944
215,201,137,2.4707676747539176
216,201,138,2.4666980872761686
217,201,139,2.4639280128618384
218,201,140,2.4590297681783344
219,202,135,2.465811970511317
220,202,136,2.460818347085906
221,202,137,2.4627041488235744
222,202,138,2.485533048010707
